id,label,class,text
1,2,AI-Generated,"Dear customer, This is to inform you that we have refined our processes to deliver an enhanced user experience. We appreciate your continued trust and support. We kindly request your attention to this matter. We look forward to your continued patronage. Warm regards, The Team"
2,1,Phishing,"ALERT: Your UPS account has been flagged. Go to this URL to verify your login credentials today or face account suspension."
3,2,AI-Generated,"Dear customer, It has come to our attention that we have made significant improvements to enhance your overall experience. We value the relationship we have built with you. Accordingly, we are pleased to share these updates with you. Thank you for your cooperation and understanding. Sincerely, The Support Team"
4,2,AI-Generated,"Greetings, We are pleased to inform you that your subscription has been seamlessly renewed for another period. Going forward, we will continue to enhance our offerings. Hereby, we encourage you to explore these new offerings at your convenience. We appreciate your prompt attention to this matter. Warm regards, The Team"
5,1,Phishing,"ATTENTION: Your iCloud email storage is full. Click here http://verification-portal.ml/ to upgrade and confirm your bank account number or lose all messages within 12 hours."
6,1,Phishing,"Hello user, we have detected unusual activity on your Dropbox account. Please go to this URL and confirm your PIN within 12 hours to avoid loss of funds."
7,1,Phishing,"IMMEDIATE ACTION REQUIRED: A wire transfer of a $500 Amazon voucher has been initiated from your account. Log in now right now to cancel if you did not authorize this."
8,2,AI-Generated,"Dear valued user, We trust this communication reaches you well. that we have updated our terms to ensure transparency and clarity. Furthermore, your subscription has been seamlessly renewed for another period. Thank you for your time and consideration. Sincerely, The Support Team"
9,0,Legitimate,"Hope you had a great vacation Paul! We missed you at the retro last week. Welcome back!"
10,1,Phishing,"Your Netflix password will expire in the next hour. Update your password immediately at http://login-secure.cf/auth to avoid permanent loss of access."
11,1,Phishing,"Package delivery failed: Your UPS parcel could not be delivered. Log in now and pay the $3.50 reshipping fee with your password within 24 hours."
12,0,Legitimate,"Reminder: all hands meeting is Tuesday. Please come prepared."
13,0,Legitimate,"Reminder: weekly standup is Monday. Please come prepared."
14,1,Phishing,"Security alert: Someone tried to log in to your Apple account from Iran. Click the link and reset your login credentials right now."
15,2,AI-Generated,"Dear valued user, Thank you for being a valued member of our community. We are writing to inform you that our platform has undergone a comprehensive upgrade to better serve you. We strive to maintain the highest standards of quality. Thank you for your cooperation and understanding. Warm regards, The Team"
16,1,Phishing,"Nigerian prince inheritance: I am a prince and have $500 in inheritance funds. I need your bank account number urgently to transfer the money. Please respond within 24 hours."
17,1,Phishing,"FINAL WARNING: A wire transfer of a $1000 gift card has been initiated from your account. Go to this URL in the next 6 hours to cancel if you did not authorize this."
18,1,Phishing,"Dear sir/madam, we have detected unusual activity on your iCloud account. Please tap here and confirm your credit card details in the next 6 hours to avoid legal action."
19,0,Legitimate,"Attached is the draft client deck for your review. Please send your comments by tomorrow so we can finalize. Thanks Anna!"
20,1,Phishing,"Package delivery failed: Your USPS parcel could not be delivered. Tap here and pay the $2.99 reshipping fee with your security question answers within 12 hours."
21,2,AI-Generated,"Dear valued user, In accordance with our standard practices, your subscription has been seamlessly renewed for another period. Furthermore, We take your privacy and security very seriously. Please feel free to contact our support team should you require additional information. Warm regards, The Team"
22,0,Legitimate,"Attached is the draft API spec for your review. Please send your comments by end of week so we can finalize. Thanks James!"
23,0,Legitimate,"Thank you for your order number 332195. Your package will arrive in 5 to 7 business days. You can track it on our website."
24,0,Legitimate,"Hope you had a great vacation Nicole! We missed you at the team lunch last week. Welcome back!"
25,2,AI-Generated,"Dear user, Thank you for being a valued member of our community. We are writing to inform you that our team has been working diligently to bring you these improvements. We appreciate your continued trust and support. Thank you for being a valued part of our community. Best regards, Customer Service"
26,2,AI-Generated,"Dear valued member, In accordance with our standard practices, our platform has undergone a comprehensive upgrade to better serve you. Furthermore, We remain committed to providing exceptional service. Thank you for your cooperation and understanding. Best regards, Customer Service"
27,0,Legitimate,"Hey Susan, quick question about the sprint plan - do you have a moment to chat Monday at 9? Only takes 10 minutes. Thanks!"
28,1,Phishing,"ACTION REQUIRED: A wire transfer of a $500 Amazon voucher has been initiated from your account. Confirm right away within 12 hours to cancel if you did not authorize this."
29,2,AI-Generated,"Dear valued member, In accordance with our standard practices, we have introduced new functionalities that we believe you will appreciate. Furthermore, We remain committed to providing exceptional service. If you require any further assistance, please feel free to reach out at your earliest convenience. Kind regards, The Operations Team"
30,0,Legitimate,"Reminder: weekly standup is this Friday. Please come prepared."
31,0,Legitimate,"Happy to help with that! Let me know if you need anything else from my end before the release. Cheers, Kevin"
32,1,Phishing,"Dear sir/madam, as per our records your billing information is outdated. Confirm right away and update your tax ID right now or your account will be deactivated."
33,1,Phishing,"Final warning: Your Gmail account will be limited in 12 hours unless you verify your credit card details at http://my-bank-secure.xyz/ immediately."
34,2,AI-Generated,"Greetings, We are excited to inform you that following a thorough review, we have refined our processes to deliver an enhanced user experience. We remain committed to providing exceptional service. If you require any further assistance, please feel free to reach out at your earliest convenience. Respectfully, Customer Support"
35,1,Phishing,"Limited time offer: Free iPhone 15 giveaway! Update now and verify your two-factor code. Only a few spots left, act right now!"
36,1,Phishing,"FINAL WARNING: Your iCloud account has been restricted. Tap here to verify your two-factor code in the next 6 hours or face fraud charges."
37,2,AI-Generated,"Dear user, As part of our ongoing commitment to excellence, we have refined our processes to deliver an enhanced user experience. Your satisfaction is our utmost priority. Thank you for your time and consideration. Best regards, Customer Service"
38,2,AI-Generated,"Dear customer, Please be informed that that our services have been expanded to provide you with greater value. Moreover, Your satisfaction is our utmost priority. Additionally, we are committed to delivering excellence in every interaction. Should you have any questions, please do not hesitate to contact us. Best wishes, The Service Team"
39,2,AI-Generated,"Hello there, It has come to our attention that your membership has been thoughtfully extended for your convenience. Rest assured that we are here to assist you at every step. Accordingly, we are pleased to share these updates with you. We look forward to your continued patronage. Respectfully, Customer Support"
40,1,Phishing,"Dear valued customer, your Revolut subscription has expired. Please confirm right away and update your password to renew, or your service will be deactivated."
41,1,Phishing,"TIME-SENSITIVE: A wire transfer of a free MacBook has been initiated from your account. Update now right now to cancel if you did not authorize this."
42,0,Legitimate,"Attached is the draft Q3 report for your review. Please send your comments by Thursday so we can finalize. Thanks Tom!"
43,1,Phishing,"Hello user, you have a pending refund of $500 from Instagram. Log in now and provide your tax ID to receive it in the next hour."
44,0,Legitimate,"Thank you for your order number 230582. Your package will arrive in 3 to 5 business days. You can track it on our website."
45,2,AI-Generated,"Dear valued user, We trust that this communication finds you in good spirits. We trust this communication reaches you well. our services have been expanded to provide you with greater value. We take your privacy and security very seriously. Thank you for being a valued part of our community. Warm regards, The Team"
46,2,AI-Generated,"Dear valued user, We are reaching out to share some important updates. This is to inform you that that our services have been expanded to provide you with greater value. Additionally, your membership has been thoughtfully extended for your convenience. Thank you for your time and consideration. Best wishes, The Service Team"
47,0,Legitimate,"Hey Anna, quick question about the project timeline - do you have a moment to chat 2:30pm? Only takes 10 minutes. Thanks!"
48,0,Legitimate,"Meeting scheduled 10am in the second floor lounge. Please come prepared with updates on the design mockups."
49,1,Phishing,"Nigerian prince inheritance: I am a prince and have 1 BTC in inheritance funds. I need your credit card details urgently to transfer the money. Please respond today."
50,2,AI-Generated,"Dear subscriber, Thank you for being a valued member of our community. It is with great pleasure that we inform you that we have updated our terms to ensure transparency and clarity. Our team is dedicated to ensuring a seamless experience. Thank you for being a valued part of our community. Yours faithfully, Account Management"
51,1,Phishing,"URGENT: Your UPS account has been flagged for policy violation. Tap here to verify your identity or lose access in the next 6 hours."
52,0,Legitimate,"Can you send me the updated figures for the monthly KPIs? I need them before the exec review on tomorrow."
53,0,Legitimate,"The design mockups is on track. We will have all deliverables ready by next week as planned. Thanks for the support."
54,1,Phishing,"Hello user, as per our records your billing information is outdated. Visit this page and update your tax ID before midnight or your account will be restricted."
55,1,Phishing,"ALERT: A wire transfer of 1 BTC has been initiated from your account. Follow this link within 12 hours to cancel if you did not authorize this."
56,0,Legitimate,"The budget proposal is on track. We will have all deliverables ready by end of week as planned. Thanks for the support."
57,2,AI-Generated,"Dear valued customer, We hope this message finds you well. that following a thorough review, our team has been working diligently to bring you these improvements. Your satisfaction is our utmost priority. We appreciate your prompt attention to this matter. Yours faithfully, Account Management"
58,2,AI-Generated,"Greetings, In accordance with our standard practices, we have introduced new functionalities that we believe you will appreciate. Furthermore, Our team is dedicated to ensuring a seamless experience. Thank you for being a valued part of our community. Warm regards, The Team"
59,0,Legitimate,"Just checking in to see how the onboarding is going. Feel free to reach out anytime if you need support."
60,0,Legitimate,"Priya - the customer call went well. They are excited to move forward. I will send a recap and next steps later today."
61,2,AI-Generated,"Dear user, We hope this message finds you well. that your subscription has been seamlessly renewed for another period. We remain committed to providing exceptional service. Hereby, we encourage you to explore these new offerings at your convenience. Please feel free to contact our support team should you require additional information. Best regards, Customer Service"
62,1,Phishing,"Dear customer, your FedEx subscription has expired. Please click the link and update your password to renew, or your service will be flagged."
63,2,AI-Generated,"Dear esteemed customer, We wish to inform you that following a thorough review, our services have been expanded to provide you with greater value. We take your privacy and security very seriously. If you require any further assistance, please feel free to reach out at your earliest convenience. Best regards, Customer Service"
64,0,Legitimate,"The design mockups is on track. We will have all deliverables ready by Thursday as planned. Thanks for the support."
65,0,Legitimate,"Just checking in to see how the onboarding is going. Feel free to reach out anytime if you need support."
66,2,AI-Generated,"Dear valued customer, In accordance with our standard practices, we have introduced new functionalities that we believe you will appreciate. Furthermore, Going forward, we will continue to enhance our offerings. Thank you for your cooperation and understanding. Best regards, Customer Service"
67,2,AI-Generated,"Dear user, As part of our ongoing commitment to excellence, our services have been expanded to provide you with greater value. We remain committed to providing exceptional service. Thank you for your time and consideration. Best wishes, The Service Team"
68,1,Phishing,"Final warning: Your PayPal account will be blocked in 12 hours unless you verify your bank account number at http://acct-recover.ga/verify immediately."
69,1,Phishing,"IRS notice: You owe unpaid taxes. Tap here and provide your password immediately to avoid deletion of all data."
70,0,Legitimate,"Looking forward to our call Tuesday afternoon. Let me know if the time still works or if you need to reschedule. Talk soon, Mike"
71,0,Legitimate,"Happy to help with that! Let me know if you need anything else from my end before the deadline. Cheers, Megan"
72,2,AI-Generated,"Dear user, We are reaching out to share some important updates. We are pleased to inform you that our services have been expanded to provide you with greater value. Additionally, your membership has been thoughtfully extended for your convenience. We appreciate your prompt attention to this matter. Kind regards, The Operations Team"
73,2,AI-Generated,"Dear valued member, We wish to inform you that our services have been expanded to provide you with greater value. Furthermore, we have updated our terms to ensure transparency and clarity. Thank you for your cooperation and understanding. Kind regards, The Operations Team"
74,2,AI-Generated,"Dear valued member, We trust this communication reaches you well. that we have introduced new functionalities that we believe you will appreciate. Moreover, Going forward, we will continue to enhance our offerings. Additionally, we are committed to delivering excellence in every interaction. Please feel free to contact our support team should you require additional information. Yours faithfully, Account Management"
75,1,Phishing,"Security alert: Someone tried to log in to your Google account from North Korea. Log in now and reset your bank account number in the next hour."
76,0,Legitimate,"Hope you had a great vacation John! We missed you at the Friday happy hour last week. Welcome back!"
77,1,Phishing,"WINNER! You have been selected as a lucky winner of a $500 Amazon voucher. Send your security question answers today to claim your prize."
78,0,Legitimate,"Hi team, please review the attached user research and send your feedback by next week. Appreciate your time."
79,1,Phishing,"Package delivery failed: Your DHL parcel could not be delivered. Go to this URL and pay the $1.50 reshipping fee with your password in the next 6 hours."
80,1,Phishing,"Attention customer, as per our records your billing information is outdated. Confirm right away and update your billing information today or your account will be frozen."
81,1,Phishing,"URGENT: Your MetaMask account has been limited. Visit this page to verify your tax ID before midnight or face police involvement."
82,2,AI-Generated,"Dear valued user, In accordance with our standard practices, we have introduced new functionalities that we believe you will appreciate. Furthermore, Your satisfaction is our utmost priority. Should you have any questions, please do not hesitate to contact us. Warm regards, The Team"
83,2,AI-Generated,"Dear user, In accordance with our standard practices, your membership has been thoughtfully extended for your convenience. Furthermore, Our team is dedicated to ensuring a seamless experience. Thank you for your cooperation and understanding. Yours faithfully, Account Management"
84,0,Legitimate,"Lunch tomorrow? There is a new Indian place that just opened near the office. Let me know if you are in."
85,1,Phishing,"Your Dropbox password will expire within 12 hours. Update your password immediately at http://acct-recover.ga/verify to avoid service termination."
86,2,AI-Generated,"Dear valued member, It is with great pleasure that we inform you we have made significant improvements to enhance your overall experience. We remain committed to providing exceptional service. We kindly request your attention to this matter. We look forward to your continued patronage. Respectfully, Customer Support"
87,2,AI-Generated,"Hello there, As part of our ongoing commitment to excellence, your subscription has been seamlessly renewed for another period. We value the relationship we have built with you. We appreciate your prompt attention to this matter. Kind regards, The Operations Team"
88,2,AI-Generated,"Dear subscriber, It is with great pleasure that we inform you that following a thorough review, we have made significant improvements to enhance your overall experience. Rest assured that we are here to assist you at every step. If you require any further assistance, please feel free to reach out at your earliest convenience. Kind regards, The Operations Team"
89,0,Legitimate,"As discussed in our last meeting, here are the action items: 1) finalize the client deck, 2) review with marketing, 3) ship by Tuesday."
90,1,Phishing,"Security alert: Someone tried to log in to your Dropbox account from Brazil. Click the link and reset your PIN within 12 hours."
91,0,Legitimate,"The team meeting has been moved to Friday morning. Dial-in details remain the same. See you then."
92,0,Legitimate,"Happy to help with that! Let me know if you need anything else from my end before the launch. Cheers, Rachel"
93,2,AI-Generated,"Dear customer, We hope this email finds you in good health. that our platform has undergone a comprehensive upgrade to better serve you. We take your privacy and security very seriously. We look forward to your continued patronage. Sincerely, The Support Team"
94,0,Legitimate,"Looking forward to our call Monday at 9. Let me know if the time still works or if you need to reschedule. Talk soon, Eric"
95,1,Phishing,"CRITICAL: Your Microsoft account has been locked. Go to this URL to verify your security question answers within 24 hours or face service termination."
96,1,Phishing,"Your crypto wallet at MetaMask has been restricted. Reset your password now at http://confirm-identity.top/ to protect your funds."
97,1,Phishing,"Dear sir/madam, we have detected unusual activity on your Chase account. Please log in now and confirm your billing information right now to avoid service termination."
98,1,Phishing,"Dear valued member, you have a pending refund of a free MacBook from Citi. Log in now and provide your login credentials to receive it before midnight."
99,0,Legitimate,"Hope you had a great vacation Kevin! We missed you at the standup last week. Welcome back!"
100,1,Phishing,"Your Netflix password will expire within 12 hours. Update your password immediately at http://acct-recover.ga/verify to avoid fraud charges."
101,1,Phishing,"WINNER! You have been selected as a lucky winner of a free iPhone 15. Send your billing information before midnight to claim your prize."
102,0,Legitimate,"Hi Emily, just wanted to thank you for covering my shift last week. Really appreciate the help. Catch you later,"
103,2,AI-Generated,"Dear esteemed customer, We are excited to inform you we have made significant improvements to enhance your overall experience. We value the relationship we have built with you. We kindly request your attention to this matter. Thank you for your cooperation and understanding. Kind regards, The Operations Team"
104,0,Legitimate,"The team meeting has been moved to Monday at 9. Dial-in details remain the same. See you then."
105,0,Legitimate,"Reminder: weekly standup is end of week. Please come prepared."
106,2,AI-Generated,"Hello there, We are excited to inform you that our services have been expanded to provide you with greater value. Furthermore, we have introduced new functionalities that we believe you will appreciate. Thank you for being a valued part of our community. Respectfully, Customer Support"
107,1,Phishing,"CRITICAL: Your WhatsApp account has been locked. Log in now to verify your credit card details before midnight or face legal action."
